player_name,country,team,total_rounds,kd,rating,game
ecfN,Germany,ALTERNATE aTTaX,11214,0.94,0.95,CSGO
HellFull,Colombia,Fusion,594,1.15,1.03,Valorant
paTiTek,Poland,EXCEL,1349,1.06,1.11,Valorant
Lynn,Chile,Goat Crew Girls,312,1.03,0.99,Valorant
Bustem,Slovenia,KlikTech,2984,0.76,0.78,CSGO
YHchen_,Taiwan,不想努力了,1932,0.85,0.85,Valorant
chiwawa,Russia,EXCEL,1349,1.15,1.09,Valorant
GuhRVN,Brazil,Try eSports,1054,1.11,1.08,Valorant
FinigaN,Russia,Espada,12178,1.0,0.96,CSGO
poem,Japan,SCARZ Absolute,4844,0.88,0.9,CSGO
Secret,South Korea,Desperado,660,1.0,1.04,Valorant
Wval,Latin America,Worst Generation,954,1.1,1.04,Valorant
whitr,Canada,UAlberta Green,970,1.08,1.09,Valorant
alecks,Singapore,BOOT,6228,0.84,0.86,CSGO
Bob,Australia,NOTHING2LOSE,887,1.06,1.01,Valorant
M7MD,United Arab Emirates,SCYTES Esports,698,1.01,1.04,Valorant
snw,Brazil,Treinao do Fra,1502,1.12,1.04,Valorant
Vuubit,Finland,FINstack,406,1.18,1.03,Valorant
stavroS,Europe,Shanghai Emperors,390,0.87,0.89,Valorant
dorafanboy123,Russia,ranked legends,320,1.0,1.04,Valorant
Blogg1s,Czech Republic,eSuba,3211,1.02,1.02,CSGO
Nit i dia,Turkey,Atlantis,510,0.99,1.07,Valorant
Lyhnj,Algeria,Made in dz,448,0.91,0.9,Valorant
electronic,Russia,Natus Vincere,31005,1.14,1.1,CSGO
jekor,Russia,SHOWRUNNERS,3038,0.97,1.0,Valorant
TISORA,Brazil,Galaxy Carrots,3486,1.15,1.08,Valorant
ETODAEXILE,Canada,EDO TENSEI,740,0.96,0.95,Valorant
fznn,Brazil,Gamelanders Blue,2756,1.09,1.03,Valorant
Xtrim,Mexico,lo mas duro de pr,402,1.13,1.11,Valorant
JaCkz,France,G2,25144,1.0,1.0,CSGO
cookie,New Zealand,Sylyx,2922,0.87,0.9,CSGO
NEY,Hungary,TRICKED,5271,0.97,0.98,CSGO
NIVΞK,World,Maternal Gaming,519,1.11,1.05,Valorant
Veroneze,Brazil,Ex-Detona,1112,0.63,0.69,Valorant
Adrian,Mexico,Akave Esports,781,1.16,1.2,Valorant
BANANA,Canada,Omni Performance SD,631,0.79,0.85,Valorant
Cloud,Russia,Natus Vincere,785,1.11,1.15,Valorant
Domsterr,South Africa,ATK,6833,1.1,1.05,CSGO
Syuz,World,Michimix,418,1.2,1.16,Valorant
twist,Sweden,GODSENT,39962,1.08,1.05,CSGO
cam,United States,Singularity,13974,1.02,1.0,CSGO
viperz4o,Brazil,ATS Brave,640,0.99,1.06,Valorant
vagabond,Canada,Solo,308,0.95,0.92,Valorant
luniikS,Tunisia,bzbz,2148,0.79,0.8,Valorant
bmblbe,Europe,xXx_sN1P3R_0wN_xXx,329,1.06,1.05,Valorant
ringring,South Korea,Solo,324,0.97,0.98,Valorant
Pitou,France,NothingToLose,338,1.17,1.22,Valorant
netrick,Denmark,AGF,11952,0.8,0.82,CSGO
KILLDREAM,Portugal,AlienTech,11159,1.0,1.0,CSGO
edmond,Canada,Dark Matter Black,384,0.62,0.72,Valorant
stunna,United States,Disciples,694,1.12,1.11,Valorant
m1tch,Australia,Corvidae,2958,1.14,1.11,CSGO
RHEA,Poland,idontcare,1044,0.99,0.97,Valorant
a000,Poland,efbijaj,1566,1.09,1.01,Valorant
Hope,Canada,Glueface,883,1.12,1.09,Valorant
benzki,Great Britain,NEXUS,1671,1.12,1.16,Valorant
jotinha,Argentina,44 Seconds,458,1.04,0.93,Valorant
BondF,India,Team ABCDE,756,0.93,0.88,Valorant
SomebodyY,Morocco,Mustang Gaming Club,536,1.15,1.06,Valorant
nomfu,Malaysia,PvZ,538,1.14,1.09,Valorant
Shniider,Egypt,Team RA'AD,702,1.13,1.09,Valorant
valens,United States,Complexity,6594,0.69,0.74,CSGO
Rapheleen,Indonesia,X-FORCE,427,1.0,0.93,Valorant
gargoyle,Australia,munyanyo,3382,0.72,0.77,CSGO
Ka1X,Germany,HOTKEY,657,1.12,1.12,Valorant
ZMART,Algeria,Solo,680,1.15,1.18,Valorant
Chibab,South Korea,Maru Gaming,772,1.18,1.16,Valorant
no_one,United States,Selfless,8859,0.98,0.98,CSGO
vela,World,4 The content,603,1.13,1.07,Valorant
xek,Bulgaria,Skin Ogres,3278,0.96,0.97,CSGO
Daicute,Vietnam,CERBERUS Esports,745,1.2,1.12,Valorant
rodrok1ng,Brazil,Reis do DM,507,1.2,1.19,Valorant
Bubzkji,Denmark,Tricked,21077,1.07,1.04,CSGO
SAGGERTON,Finland,iGame.com,14097,0.98,0.99,CSGO
smF,Denmark,CPH Wolves,20710,0.97,0.96,CSGO
Subroza,Canada,Ghost,16275,1.03,1.03,CSGO
meL,Canada,Cloud9 White,1796,1.38,1.25,Valorant
Krewmer,Sweden,Epiphany Bolt,4698,0.96,0.96,CSGO
Ellie,United States,XSET Female,756,1.19,1.12,Valorant
billie,Vietnam,Team OK,411,0.76,0.79,Valorant
reagzY,Singapore,Excelsa,1212,1.31,1.28,Valorant
Pie,France,F9 Hetic,351,1.17,1.07,Valorant
Xiaonuo,China,DeToNator,370,0.97,0.99,Valorant
MOLSI,Poland,LDN Utd,733,1.37,1.21,Valorant
Blush,United States,Assent White,1470,0.94,1.02,Valorant
GeneralSteak,Guatemala,Paradox Gaming,874,1.33,1.27,Valorant
baesh1t,Chile,KRÜ Fem,540,1.35,0.99,Valorant
Aninha,Brazil,ODDIK Bright,308,0.78,0.75,Valorant
polvi,Finland,TENSTAR,810,1.1,1.07,Valorant
YJ,Brazil,W7M,13425,0.99,0.96,CSGO
OPGLawyers,Turkey,KAĞITSPOR Espor,646,1.38,1.2,Valorant
fixky,Thailand,Team SMG Female,422,1.14,1.11,Valorant
cad,Brazil,Black Dragons,3242,0.97,0.98,CSGO
Flappy,Russia,noastra,561,1.23,1.2,Valorant
Qrow,Thailand,Aricat Esport,446,0.94,0.93,Valorant
Gabr3,Spain,Dead Rabbits,302,0.98,1.01,Valorant
Hira,Canada,Grapefruit Techniques,1978,1.06,1.02,Valorant
JdFaker,Singapore,Team SMG,462,0.91,0.92,Valorant
disturbed,Finland,ENCORE,6409,0.94,0.95,CSGO
MILENK0,Bulgaria,TTFU,3178,0.73,0.76,CSGO
Asuna,United States,100 Thieves,632,1.15,1.16,Valorant
DeNaro,Brazil,mibr,630,1.26,1.15,Valorant
RxYaL,Germany,Orgless Olafs,361,1.33,1.21,Valorant
AJTT,Czech Republic,Entropiq Prague,4336,0.99,0.97,CSGO
TeffMG,Mexico,Cachirules,548,0.69,0.7,Valorant
Badman,India,Solo,571,0.95,0.97,Valorant
Daiyana,Brazil,Valkirias Esports,428,1.06,1.12,Valorant
wrath,United States,New Identity,13568,1.13,1.12,CSGO
mikshak,Canada,Hyperspace Dark,937,1.24,1.09,Valorant
Toy,United States,Method,8318,0.95,0.95,CSGO
meta,Indonesia,MPC,586,0.87,0.89,Valorant
azizz,Poland,HONORIS,5493,0.99,0.99,CSGO
Lumii,United States,Omni Performance Gaming,773,1.02,1.0,Valorant
EngraaM,Canada,Tone Gaming,750,0.79,0.8,Valorant
pyth,Sweden,Bleed eSports,303,1.13,1.08,Valorant
Eeyore,Indonesia,Persija Esports,837,1.08,1.04,Valorant
xfathan,Malaysia,Lightality,580,1.21,1.13,Valorant
SGA Siikennder,Europe,Night Busters,418,0.82,0.75,Valorant
krea6on,Lithuania,Tundra Esports,997,1.11,1.12,Valorant
Ginilson,Brazil,Agropesca Jacare,394,1.04,1.03,Valorant
zeph,Australia,ORDER,13136,1.05,1.05,CSGO
rawfiul,India,Enigma Gaming,1267,1.46,1.33,Valorant
crazyd33R,Hungary,Gamerland Outlaws,632,0.92,0.95,Valorant
Morita,Latin America,Diablada Esports,597,0.74,0.73,Valorant
kream,Australia,PillowBangers,2220,0.95,0.89,Valorant
FRESH,Russia,Ax3,385,1.0,0.99,Valorant
z1,Ukraine,"""spray'n'pray""",3404,0.88,0.91,CSGO
648,Argentina,Coscu Army,5167,0.98,0.97,CSGO
YuChEnxixi,China,All Gamers,1934,1.02,1.02,Valorant
fade,Thailand,fully,326,1.04,1.03,Valorant
tylo,United States,Moonrise,640,0.76,0.77,Valorant
Xopccc,CIS,Team adin,426,1.18,1.08,Valorant
waifu,World,Monterrey Esports Female,642,1.3,1.27,Valorant
Ayumi,Brazil,ABC HERA eSports,324,0.69,0.7,Valorant
fancy9,Bangladesh,Exceeli Esports,542,0.91,0.81,Valorant
Xetydax,World,Roosters Gaming,666,1.15,1.16,Valorant
Melio,Canada,OCG,4894,0.93,0.95,CSGO
Rainwaker,Bulgaria,SKADE,22503,1.1,1.05,CSGO
Golden,Sweden,fnatic,22010,0.88,0.9,CSGO
nightmare,Ukraine,Team Seirin,322,1.12,1.01,Valorant
WARDELL,Canada,Solo,1154,1.59,1.24,Valorant
russ,Turkey,SuperMassive Blaze,774,1.25,1.19,Valorant
AAustiN,United States,Recon 5,5714,0.88,0.89,CSGO
Pimp,Denmark,Dignitas,25052,1.13,1.07,CSGO
bonkar,Sweden,Tundra Esports,997,0.95,0.89,Valorant
MaKo,South Korea,DRX VS,544,1.52,1.25,Valorant
Leomonster,Brazil,Bravos,4257,0.96,0.99,CSGO
SicK,United States,Sentinels,400,1.0,1.01,Valorant
Keiko,Great Britain,The Goose House,511,1.35,1.25,Valorant
VINDICARE,Turkey,WEDA Esports,366,0.96,0.97,Valorant
Fross,Chile,PlayHard,570,1.52,1.33,Valorant
Chub,Australia,Paradox,6511,0.79,0.83,CSGO
rafa,Brazil,INTZ,2729,0.89,0.91,CSGO
PateK,United States,Mach5,1572,1.03,0.95,Valorant
Rage,Venezuela,Skull Cracker Fem,392,0.95,0.92,Valorant
rodeN,France,Team BDS,591,0.85,0.89,Valorant
edamawee,Singapore,Inertia,303,0.88,0.93,Valorant
PaYen,United States,TSM FTX Academy,2768,1.02,0.97,Valorant
plat1num,Mongolia,YFP Gaming,1350,0.99,0.93,Valorant
InfrequeNt,Australia,Athletico,12046,1.12,1.07,CSGO
FugLy,United States,NRG,28153,1.03,1.01,CSGO
EqnX,Canada,Spectral Esports Purple,644,0.86,0.87,Valorant
trace,Denmark,fnatic,3109,1.0,0.97,CSGO
KovaQ,Switzerland,MAYO,682,1.08,1.1,Valorant
YDNA,Australia,Breakaway,11265,1.01,0.99,CSGO
Reformed,Canada,Evil Geniuses,1070,0.95,0.96,Valorant
Menna,Mexico,Carnage Gaming,612,1.25,1.13,Valorant
Freed0m,Vietnam,Team Joy,493,1.06,1.08,Valorant
swag,United States,Swole Patrol,14447,1.18,1.1,CSGO
ChildKing,China,Wings Up,3072,1.02,1.01,CSGO
saffee,Brazil,paiN,5383,1.37,1.24,CSGO
Spooder,Singapore,wegonnalose,333,0.89,0.97,Valorant
waffe,Australia,Funky Monkeys,5440,1.05,1.03,CSGO
m0NESY,Russia,NAVI Junior,3687,1.31,1.21,CSGO
Aikas,Lithuania,1337HUANIA,3615,1.01,0.99,CSGO
HomE,Latin America,Movistar Optix Fem,455,1.21,1.12,Valorant
Zharless,Latin America,Platinium Lions,429,0.86,0.96,Valorant
FATAL,Brazil,Bulldozer,3724,0.96,0.97,CSGO
Mimori,Germany,DIVIZION,508,1.12,1.12,Valorant
EspiranTo,Lithuania,Imperial,22439,1.09,1.07,CSGO
ProbLeM,Russia,bankaPEPSI,13438,0.97,0.96,CSGO
Boom,Spain,Project K,872,1.22,1.09,Valorant
dOME,Germany,Headshot Maschinen,730,1.01,1.01,Valorant
scr3w,CIS,NEXT.GEN,532,1.19,1.15,Valorant
yosemite,China,KONE,616,1.09,1.03,Valorant
jugeN,Great Britain,JOKERS,566,1.07,1.04,Valorant
s0uv,Turkey,w0wClan,552,1.09,1.13,Valorant
kade0,Kazakhstan,K23,7333,0.9,0.91,CSGO
akouS,Morocco,INVADERS ESPORTS,418,0.77,0.79,Valorant
Heeman,India,Team 5ive,516,1.28,1.17,Valorant
sw1ze,Portugal,The Goose House,665,1.26,1.11,Valorant
Marsh,Australia,Trident Esports,814,0.8,0.87,Valorant
Polly,Norway,LGB,11278,0.95,0.95,CSGO
Reborn,World,Prime Division,484,1.17,1.04,Valorant
Zik,Denmark,Solo,858,1.0,1.01,Valorant
leileiokay,Canada,is that a starbucks glitchpop,440,0.82,0.84,Valorant
rosey,Thailand,Aricat Aresta,1026,1.16,1.16,Valorant
DEATHMAKER,India,Godlike Esports,2008,1.38,1.28,Valorant
Shenzy,Indonesia,Bob the Builder,309,1.1,1.03,Valorant
maaRaa,Mongolia,TheMongolz,4890,0.85,0.87,CSGO
Cactus,India,Team FANGS,508,1.11,1.1,Valorant
YURI,Tunisia,bzbz,2148,0.81,0.84,Valorant
Salvestro,Singapore,Fastelle,397,1.18,1.14,Valorant
crashies,United States,OpTic Gaming,652,1.02,0.99,Valorant
muramasa,Mexico,Goat Crew,1384,0.95,0.92,Valorant
psycho,Bulgaria,Bpro,7571,0.91,0.92,CSGO
jv 60hz,Brazil,Reaper,550,0.9,0.97,Valorant
combatry,Turkey,Regnum Carya Esports,374,1.26,1.21,Valorant
SmithZz,France,G2,30130,0.97,0.96,CSGO
onebueno12,World,Team Fallen,594,0.84,0.87,Valorant
Brollan,Sweden,fnatic,23244,1.09,1.07,CSGO
GooseBreeder,Canada,CLG Red,3830,1.18,1.12,CSGO
xikii,Spain,KPI,3001,0.88,0.91,CSGO
Sing,Hong Kong,Anti Eco Eco Club,873,1.03,1.05,Valorant
debout,Chile,eBRO GAMING,328,0.95,1.02,Valorant
Nille,Denmark,Tundra Esports,997,1.12,0.93,Valorant
witz,Philippines,Bren,8746,1.17,1.1,CSGO
KrizzeN,Kazakhstan,AVANGAR,20020,0.97,0.95,CSGO
Neto,Argentina,Pharaoh Esports,348,1.52,1.28,Valorant
KOBYLOVE,Europe,kokpiT,473,0.87,0.87,Valorant
CLAW,Latin America,Butterfly Effect Fem,744,0.73,0.77,Valorant
RXFLEX,Malaysia,Wulf Esports,400,1.26,1.23,Valorant
Krumszz,India,Flashpoint,1396,0.95,0.94,Valorant
trexx,Russia,Guild Esports,431,1.1,1.07,Valorant
B0NeS,India,AtmosFear,2612,0.88,0.9,Valorant
woxia,Turkey,Lions E-Sports,584,1.08,1.05,Valorant
hassaN,Chile,Solo,409,0.91,0.88,Valorant
Tempz,Singapore,Myschief,2038,1.08,1.1,Valorant
NEUZ,Mongolia,Renewal,5083,0.97,0.99,CSGO
kenzyy,Philippines,TNC,3044,0.89,0.9,CSGO
phazadet,World,Ollin Esports,1375,1.0,0.93,Valorant
JW,Sweden,fnatic,49346,1.07,1.05,CSGO
blitzeN,France,CGN Esports,788,1.11,1.05,Valorant
Eva,Turkey,BBL Queens,544,1.44,1.22,Valorant
10K,France,Dsyre,447,0.97,0.98,Valorant
AztKk,Mexico,Fusion,594,0.96,0.94,Valorant
shuadapai,China,5POWER,14214,1.05,1.03,CSGO
Matzdell,World,WAP Esports,594,0.93,0.91,Valorant
huNter-,Bosnia and Herzegovina,G2,34977,1.16,1.13,CSGO
dangle,United States,Hysteria,3494,1.02,1.01,CSGO
COLDYY1,Ukraine,Spirit,24917,1.11,1.06,CSGO
Vxzq,Spain,dATHITANS,998,1.2,1.1,Valorant
soju_j,New Zealand,Legacy,13675,0.96,0.95,CSGO
Bramz,Tunisia,Team Vitality,632,0.96,0.92,Valorant
schnellÆ,Turkey,Fire Flux Esports Female,315,1.24,1.24,Valorant
Jeipy,Chile,Grim Reaper,429,0.9,0.95,Valorant
Shanks,Canada,Rise,864,1.07,1.02,Valorant
Noodle,Turkey,Unknownpros Female,322,0.95,0.98,Valorant
fl1pzjder,Indonesia,BOOM Esports,912,1.09,1.09,Valorant
GANGAZI,South Korea,SUMMIT's 탁아소,398,0.96,0.97,Valorant
Trippy,Canada,YEGs Last Hope,1476,1.17,1.18,Valorant
Baez,Colombia,Team Cruelty,302,1.37,1.18,Valorant
B1SK,Russia,KPI Gaming,551,1.2,1.17,Valorant
zlynx,Portugal,AlienTech,7518,0.84,0.87,CSGO
WhiteHorse,India,OR Esports,408,1.57,1.29,Valorant
ARES,United States,Aspyre Entertainment,2041,0.91,0.9,Valorant
jovahnii,United States,Cosmic Divide,4124,1.01,1.07,Valorant
Trayard,France,Les Paons Agiles,478,1.22,1.16,Valorant
es3tag,Denmark,Heroic,30935,1.05,1.03,CSGO
Alejo,Colombia,Vi4 Esports,317,0.99,1.0,Valorant
TonkeyyKong,Canada,Omnipotent Gaming,634,0.8,0.84,Valorant
frontside,Poland,Ungentium,398,0.97,0.92,Valorant
Redgar,Russia,M3 Champions,406,1.04,1.07,Valorant
Trill,Australia,SoaR,1425,1.07,0.98,Valorant
jewfyy,Europe,AIGYR ACADEMY,328,1.32,1.28,Valorant
kreaz,Sweden,Apeks,13263,1.04,1.01,CSGO
Altered,Canada,NBKS CENTURIONS,3186,1.09,0.97,Valorant
Nodios,Denmark,Copenhagen Flames,17405,1.04,1.01,CSGO
chapotoro,World,Venados ITH Esports,540,0.91,0.82,Valorant
Lime,Great Britain,Angry Titans,674,1.53,1.38,Valorant
DaWgYY,Vietnam,Take It Easy,418,0.95,1.05,Valorant
acoR,Denmark,mousesports,26597,1.12,1.06,CSGO
torben,Denmark,Fragsters,13939,0.87,0.88,CSGO
Attention,Hong Kong,Underdog,1118,1.07,1.08,Valorant
chechuu,Spain,Project K,872,0.96,0.95,Valorant
jnt,Brazil,Sharks,13981,1.03,0.99,CSGO
Keanderß,Chile,Grim Reaper,994,0.73,0.78,Valorant
Andkilde,Denmark,Copenhagen Flames,3672,1.02,1.0,CSGO
kamo,Poland,NOM eSports,707,1.34,1.33,Valorant
mun,Canada,bathwater,388,0.93,0.98,Valorant
tofurgle,Canada,Team Flux Academy,402,1.0,1.0,Valorant
Hasaa,Czech Republic,Entropiq,536,1.04,0.98,Valorant
Lynn,United States,Gen.G Black,556,0.94,1.0,Valorant
lukzz248,Argentina,BLACK ONYX ESPORTS,429,0.91,0.96,Valorant
tinggg2k5,Vietnam,Brave Wolves,389,1.13,1.12,Valorant
caiobazinn,Brazil,Hellboy e amigos,326,0.86,0.97,Valorant
PIER00,Peru,Cataclysm Team,538,1.05,1.08,Valorant
LUNA,Singapore,Glitchpop Cult,506,1.12,1.03,Valorant
Danah,Qatar,Alliance Coven,589,1.04,1.09,Valorant
venture,Canada,tradelikemarksmen academy,3570,1.11,1.04,Valorant
mezii,United Kingdom,Endpoint,10332,1.15,1.09,CSGO
tayW,United States,Logan Paulers,1678,0.88,0.9,Valorant
VolcaN,Canada,Synergy,2712,1.27,1.2,Valorant
VapeRoald,Belgium,Team Doggo,528,1.08,1.21,Valorant
zeet,Spain,dATHITANS,998,1.09,1.06,Valorant
Fat Penguin,Indonesia,Morph Team,345,0.98,0.91,Valorant
modeskiii,Philippines,ArkAngel,2380,1.03,0.93,Valorant
La7e,Russia,Solo,427,0.92,0.9,Valorant
Shyz,Brazil,B4 Angels,712,0.95,0.97,Valorant
Maverick,Brazil,Try eSports,1286,0.97,0.96,Valorant
Rambutan,Vietnam,Revolution,3788,0.92,0.95,CSGO
vaL,Latin America,Michimix,321,1.31,1.25,Valorant
MILKY,Australia,Honey Badgers,888,0.89,0.94,Valorant
SwayZ,United States,Sussy,2148,1.19,1.14,Valorant
OKOLICIOUZ,Poland,Virtus.pro,5336,0.94,0.94,CSGO
latro,Russia,USSR,3658,0.94,0.95,CSGO
maki,Canada,Stanky Bois,540,0.62,0.73,Valorant
Chronicle,Russia,M3 Champions,406,1.23,1.21,Valorant
Fleur,Philippines,Forsaken Taira Esports,374,0.91,0.94,Valorant
bbalto0o0o0,Malaysia,Team UNN,312,1.21,1.22,Valorant
xanarchy,Germany,PENTA,401,0.91,0.93,Valorant
aimDLL,Turkey,BBL Esports,729,1.05,0.99,Valorant
tease,Sweden,Torpedo,4042,0.96,0.96,CSGO
jakee,United States,Sakura White,3542,1.05,1.05,Valorant
chocomint,Canada,Dix Squad,1955,0.99,1.04,Valorant
favseven,Germany,Entropy Gaming,559,1.03,1.1,Valorant
mi1dster,Thailand,Goldencat Gaming,658,0.89,0.92,Valorant
zews,Brazil,Immortals,3640,0.78,0.8,CSGO
sia,France,Rix.GG Lightning,639,0.88,0.91,Valorant
